sg,window,negative,ns_exponent,min_count,vector_size,epochs,HR@10,NDCG@10,train_time_sec
1,3,15,0.75,10,100,50,0.022,0.0111,56.49
1,3,15,0.75,10,300,5,0.014,0.0077,10.11
1,3,15,0.75,10,300,50,0.014,0.0068,80.14
1,10,5,-1.0,3,100,5,0.002,0.0006,13.58
1,10,5,-1.0,3,100,50,0.018,0.0098,119.87
1,10,5,-1.0,3,300,5,0.006,0.0039,23.44
1,10,5,-1.0,3,300,50,0.018,0.0098,205.95
1,10,5,-1.0,10,100,5,0.008,0.0039,4.6
1,10,5,-1.0,10,100,50,0.022,0.0117,43.47
1,10,5,-1.0,10,300,5,0.008,0.0039,8.46
1,10,5,-1.0,10,300,50,0.016,0.0063,70.89
1,10,5,0.75,3,100,5,0.014,0.0068,12.83
1,10,5,0.75,3,100,50,0.022,0.0132,119.73
1,10,5,0.75,3,300,5,0.014,0.0064,22.55
1,10,5,0.75,3,300,50,0.016,0.008,197.98
1,10,5,0.75,10,100,5,0.016,0.0078,4.65
1,10,5,0.75,10,100,50,0.02,0.0107,42.95
1,10,5,0.75,10,300,5,0.016,0.0081,8.04
1,10,5,0.75,10,300,50,0.014,0.0065,78.3
1,10,15,-1.0,3,100,5,0.01,0.0038,34.51
1,10,15,-1.0,3,100,50,0.02,0.009,279.48
1,10,15,-1.0,3,300,5,0.01,0.0058,64.08
1,10,15,-1.0,3,300,50,0.016,0.0088,509.63
1,10,15,-1.0,10,100,5,0.01,0.0054,11.29
1,10,15,-1.0,10,100,50,0.022,0.0127,110.27
1,10,15,-1.0,10,300,5,0.014,0.0052,21.96
1,10,15,-1.0,10,300,50,0.016,0.0075,164.18
1,10,15,0.75,3,100,5,0.016,0.0073,34.86
1,10,15,0.75,3,100,50,0.028,0.015,283.62
1,10,15,0.75,3,300,5,0.02,0.0081,61.34
1,10,15,0.75,3,300,50,0.012,0.0071,480.14
1,10,15,0.75,10,100,5,0.02,0.0099,11.36
1,10,15,0.75,10,100,50,0.018,0.009,113.06
1,10,15,0.75,10,300,5,0.018,0.0103,21.87
1,10,15,0.75,10,300,50,0.016,0.008,178.21
